osm_id,name,description,category,amenity_type,access,capacity,rating,latitude,longitude
n63432409,Calvary Church of the Nazarene,,place_of_worship,place_of_worship,,,,38.8369415,-77.2299062
n258062657,Dunkin',,fast_food,fast_food,,,,38.787766,-77.3015064
n258062907,Cafe Rio,,restaurant,restaurant,,,,38.7869308,-77.2967576
n299794273,Duke Street Liberty,NO DIESEL,fuel,fuel,,,,38.8126769,-77.1258168
n299794335,Exxon,,fuel,fuel,,,,38.8175991,-77.1424937
n299794336,Sunoco,Store #0896047802,fuel,fuel,,,,38.8187069,-77.1436155
n299794459,Shell,,fuel,fuel,,,,38.8099812,-77.0506021
n299794479,Old Town Mart,NO DIESEL,fuel,fuel,,,,38.8139433,-77.0453786
n299794506,Shell,,fuel,fuel,,,,38.8132473,-77.0449183
n299794534,Liberty,,fuel,fuel,,,,38.812518,-77.044957
n299794542,Exxon,,fuel,fuel,,,,38.812123,-77.045106
n309522679,Sunoco,,fuel,fuel,,,,38.8964189,-77.0726392
n343312378,Shell,,fuel,fuel,,,,38.9239327,-77.2373506
n356560246,Bethlehem Church,,place_of_worship,place_of_worship,,,,38.7436754,-77.0816391
n356560706,Cedar Grove Cemetery,,grave_yard,grave_yard,,,,38.6856716,-77.1644247
n356560867,Church of the Good Shepherd,,place_of_worship,place_of_worship,,,,38.909278,-77.3016503
n356560873,Campbell Elementary School,,school,school,,,,38.8580033,-77.1257791
n356561422,Emmanuel Church,,place_of_worship,place_of_worship,,,,38.7370502,-77.0977752
n356561433,Engleside Church,,place_of_worship,place_of_worship,,,,38.7278236,-77.1206064
n356561699,Flint Hill Lower School,,school,school,,,,38.87926,-77.30709
n356561954,Truist,,bank,bank,,,,38.8171691,-77.2744893
n356562060,Greater Little Zion Church,,place_of_worship,place_of_worship,,,,38.8057205,-77.2976102
n356562282,Heritage Church,,place_of_worship,place_of_worship,,,,38.7251151,-77.0583105
n356562416,Holy Trinity Church,,place_of_worship,place_of_worship,,,,38.806737,-77.299258
n356562452,Hosley Memorial Chapel,,place_of_worship,place_of_worship,,,,38.7137921,-77.100393
n356563499,Mount Calvary Church,,place_of_worship,place_of_worship,,,,38.7776138,-77.0702555
n356563524,Mount Daniel Elementary School,,school,school,,,,38.89736,-77.18082
n356563752,Mount Vernon Church,,place_of_worship,place_of_worship,,,,38.7467811,-77.0638664
n356563988,New Mount Zoar Church,,place_of_worship,place_of_worship,,,,38.8309463,-77.3574859
n356564694,Plymouth Haven Church,,place_of_worship,place_of_worship,,,,38.7245595,-77.0588661
n356565328,Saint Aidans Episcopal Day School,,school,school,,,,38.72556,-77.06694
n356565345,Saint Bernadette School,,school,school,,,,38.77644,-77.20544
n356565395,Saint James Church,,place_of_worship,place_of_worship,,,,38.7086999,-77.1211212
n356565457,Saint Louis Elementary School,,school,school,,,,38.76424,-77.08185
n356565477,Saint Lukes Church,,place_of_worship,place_of_worship,,,,38.739657,-77.053824
n356565529,Saint Michael School,,school,school,,,,38.82239,-77.2002
n356565625,Saint Thomas More Cathedral School,,school,school,,,,38.8712235,-77.1043985
n356566036,Silverbrook Methodist Church,,place_of_worship,place_of_worship,,,,38.7256671,-77.2427556
n356566447,Tailwood School,,school,school,,,,38.8366646,-77.2972024
n356567277,Wesley Church,,place_of_worship,place_of_worship,,,,38.7288864,-77.1031018
n356567665,Woodlawn Church,,place_of_worship,place_of_worship,,,,38.7468918,-77.0819287
n356568582,Houston School,,school,school,,,,38.8126132,-77.0480325
n356568828,Kaye Kare Child Care,,school,school,,,,38.88388,-77.16809
n356569170,Parker Gray Middle School,,school,school,,,,38.8145599,-77.0510905
n356569279,Washington-Alexandria Architecture Center,,school,school,,,,38.8046886,-77.0509204
n356569300,William Ramsay Elementary School,,school,school,,,,38.8280804,-77.1314544
n356569450,Saint Josephs School,,school,school,,,,38.812568,-77.0463585
n356569473,Saint Mary's Catholic School,,school,school,,,,38.79515,-77.04676
n356569682,Foundation School of Alexandria,,school,school,,,,38.80724,-77.0879
n356569692,Suburban School,,school,school,,,,38.8234486,-77.0697558
n356569882,Virginia Theological Seminary,,school,school,,,,38.8204855,-77.0920724
n356580519,Browne Academy,,school,school,,,,38.789,-77.08399
n356580643,Powhatan Nursing Home,,nursing_home,nursing_home,,,,38.9063409,-77.1643641
n356580659,Chesterbrook Methodist Church,,place_of_worship,place_of_worship,,,,38.9218302,-77.1528807
n356580675,First Baptist Church,,place_of_worship,place_of_worship,,,,38.920389,-77.1552574
n356580682,The Vine Church,,place_of_worship,place_of_worship,,,,38.8891301,-77.2255434
n356580684,Dunn Loring Community Church,,place_of_worship,place_of_worship,,,,38.8916717,-77.2255831
n356580690,Holy Cross Episcopal Church,,place_of_worship,place_of_worship,,,,38.8915313,-77.2248724
